,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography_Germany,Geography_Spain,Gender_Male
0,0.5379999999999999,0.3243243243243243,0.2,0.0,0.0,1.0,1.0,0.5067348931822989,0.0,0.0,0.0
1,0.5159999999999999,0.3108108108108108,0.1,0.334031478677259,0.0,0.0,1.0,0.5627087386845444,0.0,1.0,0.0
2,0.30399999999999994,0.3243243243243243,0.8,0.6363571759354565,0.6666666666666667,1.0,0.0,0.5696543519906151,0.0,0.0,0.0
3,0.6980000000000001,0.2837837837837838,0.1,0.0,0.3333333333333333,0.0,0.0,0.46912005096486714,0.0,0.0,0.0
4,0.9999999999999999,0.3378378378378379,0.2,0.5002462155052676,0.0,1.0,1.0,0.3954003607344502,0.0,1.0,0.0
5,0.59,0.35135135135135137,0.8,0.45339436422174445,0.3333333333333333,1.0,0.0,0.7487971601287922,0.0,1.0,1.0
6,0.9440000000000001,0.4324324324324324,0.7000000000000001,0.0,0.3333333333333333,1.0,1.0,0.050260899915941966,0.0,0.0,1.0
7,0.08055338466679846,0.14864864864864863,0.4,0.4585397202505608,0.8333333333333333,1.0,0.0,0.5967334880481086,1.0,0.0,0.0
8,0.30199999999999994,0.35135135135135137,0.4,0.5661703921301275,0.3333333333333333,0.0,1.0,0.37468038197647874,0.0,0.0,1.0
9,0.668,0.12162162162162166,0.2,0.5364882610306042,0.0,1.0,1.0,0.3586049967771922,0.0,0.0,1.0
10,0.356,0.1756756756756757,0.6000000000000001,0.4066062041365082,0.3333333333333333,0.0,0.0,0.40088598461153035,0.0,0.0,1.0
11,0.29399999999999993,0.08108108108108109,0.30000000000000004,0.0,0.3333333333333333,1.0,0.0,0.3819286241836095,0.0,1.0,1.0
12,0.252,0.21621621621621623,1.0,0.0,0.3333333333333333,1.0,0.0,0.13125953528561976,0.0,0.0,0.0
13,0.398,0.09459459459459457,0.5,0.0,0.3333333333333333,0.0,0.0,0.9543221877689319,0.0,0.0,0.0
14,0.57,0.22972972972972977,0.7000000000000001,0.0,0.3333333333333333,1.0,1.0,0.32973183939066175,0.0,1.0,0.0
15,0.5319999999999999,0.36486486486486486,0.30000000000000004,0.5704683124530762,0.3333333333333333,0.0,1.0,0.32160911367035555,1.0,0.0,1.0
16,0.606,0.5405405405405406,0.1,0.5285129113577549,0.0,1.0,0.0,0.02543287883992921,1.0,0.0,1.0
17,0.398,0.08108108108108109,0.9,0.0,0.3333333333333333,1.0,1.0,0.07198102418780992,0.0,1.0,0.0
18,0.47399999999999987,0.36486486486486486,0.6000000000000001,0.0,0.0,0.0,0.0,0.7934419237037137,0.0,1.0,1.0
19,0.7519999999999999,0.08108108108108109,0.6000000000000001,0.0,0.3333333333333333,1.0,1.0,0.2735883776900694,0.0,0.0,0.0
20,0.7639999999999999,0.3108108108108108,0.8,0.0,0.3333333333333333,1.0,1.0,0.8544545504095641,0.0,0.0,1.0
